Rank,Word,PoS,Collins,knowTag,,Definition,Tag,3151
256,both,d,5,2,重复,adj. 两者的；两个的,zk gk,
257,little,j,5,2,重复,adj. 小的；短暂的；很少的；小巧可爱的,zk gk,
258,house,n,5,1,重复,n. 住宅；家庭；某种用途的建筑物；机构；议会,toefl ielts zk gk,
259,yes,u,5,2,,adv. 是,zk gk,
260,after,c,5,2,重复,adv. 后来，以后,zk gk,
261,since,c,5,2,重复,conj. 既然；因为；由于；自…以来；自…以后,zk gk,
262,long,r,2,2,重复,n. 长时间；长音节,toefl zk gk,
263,provide,v,5,1,,vt. 规定；提供；准备；装备,cet4 cet6 ky toefl zk gk,
264,service,n,5,2,重复,n. 服务，服侍；服役；仪式,ielts zk gk,
265,around,i,5,1,重复,adv. 到处；大约；在附近,zk gk,
266,friend,n,5,2,,n. 朋友；赞助者；助手,zk gk,
267,important,j,5,1,,adj. 重要的，重大的；有地位的；有权力的,ielts zk gk,
268,father,n,5,2,重复,n. 父亲，爸爸；神父；祖先；前辈,zk gk,
269,sit,v,5,2,,vi. 坐；位于,zk gk,
270,away,r,5,2,重复,adv. 离去，离开；在远处,zk gk,
271,until,c,5,2,重复,conj. 在…以前；直到…时,zk gk,
272,power,n,5,2,重复,n. 能力；力量；功率；幂；势力；政权,cet4 ky ielts gk,
273,hour,n,5,2,,n. 小时；钟头；课时；…点钟,zk gk,
274,game,n,5,2,重复,n. 游戏；比赛,zk gk,
275,often,r,5,2,,adv. 常常，时常,zk gk,
276,yet,r,5,2,,adv. 还；但是；已经,zk gk,
277,line,n,5,2,重复,n. 绳；排；路线，航线,cet4 cet6 ky ielts zk gk,
278,political,j,5,0,,adj. 政治的；党派的,cet4 cet6 ky ielts gk,
279,end,n,5,2,重复,n. 结束；末端；目标；死亡；尽头,ielts zk gk,
280,among,i,5,2,,prep. 在…中间；在…之中,zk gk,
281,ever,r,5,2,,adv. 曾经；究竟；永远,zk gk,
282,stand,v,5,2,重复,vi. 位于；站立；停滞,toefl ielts zk gk,
283,bad,j,5,2,重复,adj. 坏的；严重的；劣质的,zk gk,
284,lose,v,5,2,,vt. 使沉溺于；浪费；遗失；使迷路；错过,cet4 cet6 ky zk gk,
285,however,r,5,2,,adv. 无论如何；不管怎样,cet4 ky zk gk,
286,member,n,5,1,,n. 成员；会员；议员,zk gk,
287,pay,v,5,2,重复,vt. 支付，付；偿还，补偿,ielts zk gk,
288,law,n,5,2,,n. 法律；法学；诉讼；法治；司法界；规律,cet4 cet6 ky ielts zk gk,
289,meet,v,5,2,重复,vt. 遇见；满足；对付,zk gk,
290,car,n,5,2,,n. 汽车；车厢,zk gk,
291,city,n,4,2,,n. 城市，都市,ielts zk gk,
292,almost,r,5,2,,adv. 差不多，几乎,zk gk,
293,include,v,5,2,,vt. 包含，包括,cet4 cet6 ky zk gk,
294,continue,v,5,1,,vi. 仍旧，连续；继续，延续,cet4 cet6 ky zk gk,
295,set,v,3,2,重复,n. 集合；一套；布景；装置；趋势,ielts zk gk,
296,later,r,5,2,重复,adv. 随后；稍后；后来,cet4 cet6 ky gk,
297,community,n,5,1,,n. 社区；团体；共同体；群落,cet4 cet6 ky toefl ielts,
298,much,r,5,2,重复,adv. 非常，很,zk gk,
299,name,n,5,2,重复,n. 名称，名字；姓名；名誉,zk gk,
300,five,m,5,2,,n. 五，五个；[口]五美元钞票,zk gk,
301,once,r,5,2,重复,adv. 一次；曾经,ielts zk gk,
302,white,j,5,2,重复,adj. 白色的；白种的；纯洁的,zk gk,
303,least,r,5,1,重复,adj. 最小的；最少的（little的最高级）,cet4 cet6 ky ielts zk gk,
304,president,n,5,0,,n. 总统；校长；董事长,cet4 cet6 ky zk gk,
305,learn,v,5,2,,vt. 学习；认识到；得知,ielts zk gk,
306,real,j,5,2,重复,adj. 真实的；实在的；实际的,cet4 cet6 ky zk gk,
307,change,v,5,2,重复,vt. 改变；交换,zk gk,
308,team,n,5,2,重复,n. 队；组,cet4 cet6 ky toefl ielts zk gk,
309,minute,n,1,1,重复,n. 片刻，一会儿；分，分钟；备忘录，笔记；会议记录,toefl ielts zk gk,
310,best,j,,2,重复,n. 最好的人，最好的事物；最佳状态,ielts,
311,several,d,5,0,,adj. 几个的；各自的,ielts zk gk,
312,idea,n,5,2,,n. 主意；概念；想法,ielts zk gk,
313,kid,n,4,2,重复,n. 小孩；小山羊,cet4 ky zk gk,
314,body,n,5,2,,n. 身体；主体；团体；主要部分；大量,zk,
315,information,n,5,1,,n. 信息，资料；通知；情报；知识,ielts zk gk,
316,nothing,p,5,2,,neg. 没什么；毫不,ielts zk gk,
317,ago,r,5,2,,adv. 以前，以往,zk gk,
318,right,j,3,2,重复,adj. 正确的；右方的；直接的,zk gk,
319,lead,v,2,2,重复,n. 铅；领导；导线；榜样；石墨,cet4 ky toefl zk gk,
320,social,j,5,1,,adj. 社会的，社交的；群居的,cet4 cet6 ky ielts zk gk,
321,understand,v,5,1,,vt. 懂；理解；获悉；推断；省略,toefl zk gk,
322,whether,c,5,1,,conj. 是否；不论,zk gk,
323,back,n,5,2,重复,n. 背部；后面；靠背；足球等的后卫；书报等的末尾,ielts zk gk,
324,watch,v,3,2,重复,vt. 注视；观察；看守；警戒,toefl zk gk,
325,together,r,5,1,,adv. 一起；总共；同时；连续地；相互,zk gk,
326,follow,v,5,2,,vt. 跟随；追求；遵循；密切注意,cet4 cet6 ky zk gk,
327,around,r,5,1,重复,adv. 到处；大约；在附近,zk gk,
328,parent,n,5,1,,n. 父母亲；父亲（或母亲）；根源,ielts zk gk,
329,only,j,5,2,重复,adv. 只，仅仅；不料,zk gk,
330,stop,v,5,2,重复,vt. 堵塞；停止；断绝,zk gk,
331,face,n,5,2,重复,n. 脸；面容；表面；面子；威信；外观,toefl ielts zk gk,
332,anything,p,5,2,,pron. 任何事,zk gk,
333,create,v,5,2,,vt. 造成；创造，创作,cet4 cet6 ky ielts zk gk,
334,public,j,5,1,重复,adj. 公用的；公众的；公立的；政府的,cet4 cet6 ky ielts zk gk,
335,already,r,5,2,,adv. 已经，早已；先前,zk gk,
336,speak,v,5,2,,vi. 说话；演讲；陈述；表明,zk gk,
337,others,n,,2,,pron. 其他人,,
338,read,v,5,2,重复,vt. 阅读；读懂，理解,zk gk,
339,level,n,5,2,重复,n. 水平；水平面；标准,cet4 cet6 ky ielts zk gk,
340,allow,v,5,2,,vt. 允许；认可；给予,cet4 ky zk gk,
341,add,v,5,2,,vi. 加；增加；加起来；做加法,cet4 ky zk gk,
342,office,n,5,1,,n. 办公室；营业处；官职；政府机关,ielts zk gk,
343,spend,v,5,2,,vt. 花费；度过，消磨（时光）；用尽；浪费,zk gk,
344,door,n,5,2,,n. 门；家，户；门口；通道,zk gk,
345,health,n,5,1,,n. 健康；兴旺；卫生；保健,ielts zk gk,
346,person,n,5,1,,n. 人；[语法]人称；身体；容貌，外表,ielts zk gk,
347,art,n,5,2,,n. 艺术；美术；艺术品,cet4 ky ielts zk gk,
348,sure,j,5,2,重复,adj. 可靠的；必定的；确信的,zk gk,
349,such,i,5,2,重复,adj. 这样的，如此的,zk gk,
350,war,n,5,2,,n. 战争，斗争；冲突，对抗，竞争；军事，战术,cet4 cet6 ky zk gk,
351,history,n,5,2,,n. 历史，历史学；历史记录；来历,cet4 cet6 ky ielts zk gk,
352,party,n,5,2,重复,n. 聚会，派对；政党，党派；[律]当事人,toefl ielts zk gk,
353,within,i,5,2,重复,prep. 在…之内,cet4 cet6 ky gk,
354,grow,v,5,2,,vi. 生长；发展；渐渐变得…,zk gk,
355,result,n,5,2,重复,n. 结果；成绩；答案；比赛结果,cet4 cet6 ky ielts zk gk,
356,open,v,5,2,重复,adj. 营业着的；敞开的；空旷的；公开的；坦率的,zk gk,
357,change,n,5,2,重复,vt. 改变；交换,zk gk,
358,morning,n,5,1,,n. 早晨；[诗]初期；黎明,zk gk,
359,walk,v,5,2,重复,n. 步行，走；散步,zk gk,
360,reason,n,5,1,重复,n. 理由；理性；动机,toefl ielts zk gk,
361,low,j,5,2,重复,adj. 低的，浅的；粗俗的；卑贱的；消沉的,zk gk,
362,win,v,5,2,重复,vt. 赢得；在…中获胜；劝诱,cet4 cet6 ky zk gk,
363,research,n,5,1,重复,n. 研究；调查,cet4 cet6 ky ielts zk gk,
364,girl,n,5,2,,n. 女孩，姑娘；女儿；女朋友,zk gk,
365,guy,n,4,2,,n. 男人，家伙,cet4 ky ielts,
366,early,j,5,1,重复,adj. 早期的；早熟的,zk gk,
367,food,n,5,2,,n. 食物；养料,ielts zk gk,
368,before,c,5,2,重复,prep. 在…之前，先于,zk gk,
369,moment,n,5,2,,n. 瞬间；重要时刻；指定时刻；重要，契机,toefl zk gk,
370,himself,p,5,2,,pron. 他自己；他亲自，他本人,zk gk,
371,air,n,5,2,重复,n. 空气，大气；曲调；天空；样子,toefl ielts zk gk,
372,teacher,n,,1,,n. 教师；导师,ielts zk gk,
373,force,n,5,1,重复,n. 力量；武力；魄力；军队,cet4 cet6 ky zk gk,
374,offer,v,5,2,重复,vt. 提供；试图；出价,cet4 cet6 ky toefl ielts zk gk,
375,enough,r,5,1,重复,adv. 足够地，充足地,zk gk,
376,both,r,5,2,重复,adj. 两者的；两个的,zk gk,
377,education,n,5,1,,n. 教育；教育学；培养,cet4 ky toefl ielts zk gk,
378,across,i,5,2,重复,prep. 穿过；横穿,zk gk,
379,although,c,5,1,,conj. 虽然，尽管,cet4 ky zk gk,
